gene	reactome
A0JLT2	Developmental Biology;Metabolism;PPARA activates gene expression;Transcriptional regulation of white adipocyte differentiation;Regulation of lipid metabolism by PPARalpha;Metabolism of lipids
A0M8Q6	Hemostasis;Adaptive Immune System;Disease;Complement cascade;Initial triggering of complement;Creation of C4 and C2 activators;Innate Immune System;Immune System;Classical antibody-mediated complement activation;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Cell surface interactions at the vascular wall;Fcgamma receptor (FCGR) dependent phagocytosis;FCGR activation;Regulation of actin dynamics for phagocytic cup formation;Role of phospholipids in phagocytosis;Scavenging of heme from plasma;Binding and Uptake of Ligands by Scavenger Receptors;Fc epsilon receptor (FCERI) signaling;Role of LAT2/NTAL/LAB on calcium mobilization;FCERI mediated MAPK activation;FCERI mediated Ca+2 mobilization;FCERI mediated NF-kB activation;Vesicle-mediated transport;Infectious disease;CD22 mediated BCR regulation;Leishmania infection;Anti-inflammatory response favouring Leishmania parasite infection;FCGR3A-mediated IL10 synthesis;Parasite infection;Leishmania phagocytosis;FCGR3A-mediated phagocytosis;Leishmania parasite growth and survival;Regulation of Complement cascade;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers;Signaling by the B Cell Receptor (BCR)
A0MZ66	Developmental Biology;L1CAM interactions;Axon guidance;Recycling pathway of L1;Nervous system development
A0PJK1	Cellular hexose transport;Transport of small molecules;SLC-mediated transmembrane transport
A1A4S6	Apoptosis;Signal Transduction;Regulation of Apoptosis;Signaling by Rho GTPases;Rho GTPase cycle;Regulation of PAK-2p34 activity by PS-GAP/RHG10;Programmed Cell Death
A1A580	Developmental Biology;Keratinization
A1A5B4	Stimuli-sensing channels;Transport of small molecules;Ion channel transport
A1E959	Metabolism of proteins;Amyloid fiber formation
A1IGU5	Signal Transduction;NRAGE signals death through JNK;p75 NTR receptor-mediated signalling;Signaling by Rho GTPases;Rho GTPase cycle;Cell death signalling via NRAGE, NRIF and NADE;Signaling by GPCR;GPCR downstream signalling;G alpha (12/13) signalling events;Death Receptor Signalling
A1L190	Meiotic synapsis;Reproduction;Meiosis;Cell Cycle
A1L3X0	Metabolism;Metabolism of lipids;Fatty acyl-CoA biosynthesis;Synthesis of very long-chain fatty acyl-CoAs;Fatty acid metabolism
A1L4H1	Binding and Uptake of Ligands by Scavenger Receptors;Scavenging by Class B Receptors;Vesicle-mediated transport
A2KUC3	Hemostasis;Adaptive Immune System;Disease;Complement cascade;Initial triggering of complement;Creation of C4 and C2 activators;Innate Immune System;Immune System;Classical antibody-mediated complement activation;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Cell surface interactions at the vascular wall;Fcgamma receptor (FCGR) dependent phagocytosis;FCGR activation;Regulation of actin dynamics for phagocytic cup formation;Role of phospholipids in phagocytosis;Scavenging of heme from plasma;Binding and Uptake of Ligands by Scavenger Receptors;Fc epsilon receptor (FCERI) signaling;Role of LAT2/NTAL/LAB on calcium mobilization;FCERI mediated MAPK activation;FCERI mediated Ca+2 mobilization;FCERI mediated NF-kB activation;Vesicle-mediated transport;Infectious disease;CD22 mediated BCR regulation;Leishmania infection;Anti-inflammatory response favouring Leishmania parasite infection;FCGR3A-mediated IL10 synthesis;Parasite infection;Leishmania phagocytosis;FCGR3A-mediated phagocytosis;Leishmania parasite growth and survival;Regulation of Complement cascade;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers;Signaling by the B Cell Receptor (BCR)
A2NJV5	Hemostasis;Adaptive Immune System;Disease;Complement cascade;Initial triggering of complement;Creation of C4 and C2 activators;Innate Immune System;Immune System;Classical antibody-mediated complement activation;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Cell surface interactions at the vascular wall;Fcgamma receptor (FCGR) dependent phagocytosis;FCGR activation;Regulation of actin dynamics for phagocytic cup formation;Role of phospholipids in phagocytosis;Scavenging of heme from plasma;Binding and Uptake of Ligands by Scavenger Receptors;Fc epsilon receptor (FCERI) signaling;Role of LAT2/NTAL/LAB on calcium mobilization;FCERI mediated MAPK activation;FCERI mediated Ca+2 mobilization;FCERI mediated NF-kB activation;Vesicle-mediated transport;Infectious disease;CD22 mediated BCR regulation;Leishmania infection;Anti-inflammatory response favouring Leishmania parasite infection;FCGR3A-mediated IL10 synthesis;Parasite infection;Leishmania phagocytosis;FCGR3A-mediated phagocytosis;Leishmania parasite growth and survival;Regulation of Complement cascade;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers;Signaling by the B Cell Receptor (BCR)
A2NXD2	Hemostasis;Adaptive Immune System;Disease;Complement cascade;Initial triggering of complement;Creation of C4 and C2 activators;Innate Immune System;Immune System;Classical antibody-mediated complement activation;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell;Cell surface interactions at the vascular wall;Fcgamma receptor (FCGR) dependent phagocytosis;FCGR activation;Regulation of actin dynamics for phagocytic cup formation;Role of phospholipids in phagocytosis;Scavenging of heme from plasma;Binding and Uptake of Ligands by Scavenger Receptors;Fc epsilon receptor (FCERI) signaling;Role of LAT2/NTAL/LAB on calcium mobilization;FCERI mediated MAPK activation;FCERI mediated Ca+2 mobilization;FCERI mediated NF-kB activation;Vesicle-mediated transport;Infectious disease;CD22 mediated BCR regulation;Leishmania infection;Anti-inflammatory response favouring Leishmania parasite infection;FCGR3A-mediated IL10 synthesis;Parasite infection;Leishmania phagocytosis;FCGR3A-mediated phagocytosis;Leishmania parasite growth and survival;Regulation of Complement cascade;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers;Signaling by the B Cell Receptor (BCR)
A2RRD8	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A2RRP1	Membrane Trafficking;Vesicle-mediated transport;COPI-dependent Golgi-to-ER retrograde traffic;Intra-Golgi and retrograde Golgi-to-ER traffic;Golgi-to-ER retrograde transport
A2RU49	Metabolism;Lysine catabolism;Metabolism of amino acids and derivatives
A2RUC4	tRNA modification in the nucleus and cytosol;Synthesis of wybutosine at G37 of tRNA(Phe);tRNA processing;Metabolism of RNA
A2RUS2	Membrane Trafficking;Vesicle-mediated transport;RAB GEFs exchange GTP for GDP on RABs;Rab regulation of trafficking
A2VDF0	Metabolism of proteins;Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein;Asparagine N-linked glycosylation;Synthesis of substrates in N-glycan biosythesis;Post-translational protein modification;GDP-fucose biosynthesis
A2VEC9	Disease;Diseases of glycosylation;Diseases associated with O-glycosylation of proteins;Metabolism of proteins;Defective B3GALTL causes Peters-plus syndrome (PpS);O-linked glycosylation;O-glycosylation of TSR domain-containing proteins;Diseases of metabolism;Post-translational protein modification
A3KFT3	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A4D1E1	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A4D1S5	Metabolism of proteins;Post-translational protein modification;RAB geranylgeranylation
A4D2G3	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A4GXA9	HDR through Homologous Recombination (HRR);DNA Double-Strand Break Repair;Resolution of D-Loop Structures;Homology Directed Repair;HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA);Resolution of D-loop Structures through Holliday Junction Intermediates;Fanconi Anemia Pathway;DNA Repair
A5D6W6	Metabolism;Metabolism of lipids;Lipid particle organization
A5D8V6	HIV Life Cycle;Budding and maturation of HIV virion;Late Phase of HIV Life Cycle;HIV Infection;Disease;Membrane binding and targetting of GAG proteins;Synthesis And Processing Of GAG, GAGPOL Polyproteins;Assembly Of The HIV Virion;Membrane Trafficking;Vesicle-mediated transport;Infectious disease;Endosomal Sorting Complex Required For Transport (ESCRT);HCMV Infection;HCMV Late Events;Autophagy;Late endosomal microautophagy
A5LHX3	Apoptosis;Downstream signaling events of B Cell Receptor (BCR);Activation of NF-kappaB in B cells;Cellular response to hypoxia;Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha;ER-Phagosome pathway;Antigen processing-Cross presentation;Cross-presentation of soluble exogenous antigens (endosomes);PIP3 activates AKT signaling;Developmental Biology;Cytokine Signaling in Immune system;Adaptive Immune System;Metabolism;Signal Transduction;HIV Infection;Host Interactions of HIV factors;Cell Cycle;Disease;Innate Immune System;Immune System;Regulation of Apoptosis;SCF-beta-TrCP mediated degradation of Emi1;APC/C-mediated degradation of cell cycle proteins;APC/C:Cdc20 mediated degradation of Securin;APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1;Cdc20:Phospho-APC/C mediated degradation of Cyclin A;Regulation of APC/C activators between G1/S and early anaphase;APC/C:Cdc20 mediated degradation of mitotic proteins;Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins;APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint;Vpu mediated degradation of CD4;Vif-mediated degradation of APOBEC3G;Degradation of beta-catenin by the destruction complex;Signaling by WNT;TCF dependent signaling in response to WNT;TCR signaling;Downstream TCR signaling;Regulation of activated PAK-2p34 by proteasome mediated degradation;Generic Transcription Pathway;Cellular responses to stress;Fc epsilon receptor (FCERI) signaling;Separation of Sister Chromatids;Mitotic Metaphase and Anaphase;FCERI mediated NF-kB activation;Autodegradation of the E3 ubiquitin ligase COP1;Regulation of ornithine decarboxylase (ODC);Metabolism of polyamines;Signaling by ROBO receptors;Transport of small molecules;ABC-family proteins mediated transport;Beta-catenin independent WNT signaling;Metabolism of proteins;PCP/CE pathway;Axon guidance;Interleukin-1 family signaling;Signaling by Interleukins;AUF1 (hnRNP D0) binds and destabilizes mRNA;Regulation of mRNA stability by proteins that bind AU-rich elements;Mitotic G2-G2/M phases;Regulation of mitotic cell cycle;Asymmetric localization of PCP proteins;Degradation of AXIN;Degradation of DVL;Programmed Cell Death;Hedgehog ligand biogenesis;Signaling by Hedgehog;Hh mutants that don't undergo autocatalytic processing are degraded by ERAD;Hh mutants abrogate ligand secretion;Dectin-1 mediated noncanonical NF-kB signaling;CLEC7A (Dectin-1) signaling;Degradation of GLI1 by the proteasome;Degradation of GLI2 by the proteasome;GLI3 is processed to GLI3R by the proteasome;Hedgehog 'off' state;ABC transporter disorders;Disorders of transmembrane transporters;C-type lectin receptors (CLRs);Hedgehog 'on' state;Regulation of RAS by GAPs;Diseases of signal transduction by growth factor receptors and second messengers;Infectious disease;TNFR2 non-canonical NF-kB pathway;RAF/MAP kinase cascade;NIK-->noncanonical NF-kB signaling;Defective CFTR causes cystic fibrosis;MAPK family signaling cascades;MAPK1/MAPK3 signaling;MAPK6/MAPK4 signaling;Deubiquitination;UCH proteinases;Ub-specific processing proteases;Post-translational protein modification;PTEN Regulation;CDT1 association with the CDC6:ORC:origin complex;Assembly of the pre-replicative complex;Mitotic Anaphase;M Phase;Orc1 removal from chromatin;DNA Replication Pre-Initiation;CDK-mediated phosphorylation and removal of Cdc6;Switching of origins to a post-replicative state;Synthesis of DNA;S Phase;G2/M Transition;Cell Cycle, Mitotic;DNA Replication;G2/M Checkpoints;Stabilization of p53;p53-Dependent G1 DNA Damage Response;p53-Dependent G1/S DNA damage checkpoint;Ubiquitin Mediated Degradation of Phosphorylated Cdc25A;p53-Independent DNA Damage Response;p53-Independent G1/S DNA damage checkpoint;G1/S DNA Damage Checkpoints;Cell Cycle Checkpoints;Metabolism of amino acids and derivatives;RNA Polymerase II Transcription;Gene expression (Transcription);Ubiquitin-dependent degradation of Cyclin D;The role of GTSE1 in G2/M progression after G2 checkpoint;FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Transcriptional regulation by RUNX2;Transcriptional regulation by RUNX1;RUNX1 regulates transcription of genes involved in differentiation of HSCs;Regulation of RUNX2 expression and activity;Regulation of PTEN stability and activity;Neddylation;Metabolism of RNA;Cellular responses to external stimuli;Intracellular signaling by second messengers;Regulation of expression of SLITs and ROBOs;Interleukin-1 signaling;FLT3 Signaling;Nervous system development;Antigen processing: Ubiquitination & Proteasome degradation;Class I MHC mediated antigen processing & presentation;Signaling by the B Cell Receptor (BCR)
A5PL33	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A5PLK6	Signal Transduction;Signaling by GPCR;GPCR downstream signalling;G alpha (q) signalling events;G alpha (i) signalling events;G alpha (z) signalling events
A5PLN9	Membrane Trafficking;Vesicle-mediated transport;RAB GEFs exchange GTP for GDP on RABs;Rab regulation of trafficking
A5X5Y0	Neurotransmitter receptors and postsynaptic signal transmission;Transmission across Chemical Synapses;Neuronal System
A5YKK6	Generic Transcription Pathway;Transcriptional Regulation by TP53;Deadenylation-dependent mRNA decay;Deadenylation of mRNA;TP53 Regulates Transcription of Cell Cycle Genes;TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain;RNA Polymerase II Transcription;Gene expression (Transcription);Metabolism of RNA
A5YM69	Signal Transduction;NRAGE signals death through JNK;p75 NTR receptor-mediated signalling;Signaling by Rho GTPases;Rho GTPase cycle;Cell death signalling via NRAGE, NRIF and NADE;Signaling by GPCR;GPCR downstream signalling;G alpha (12/13) signalling events;Death Receptor Signalling
A5YM72	Metabolism;Histidine catabolism;Metabolism of amino acids and derivatives
A6H8Y1	RNA Polymerase III Transcription;Gene expression (Transcription);RNA Polymerase III Abortive And Retractive Initiation;RNA Polymerase III Transcription Initiation;RNA Polymerase III Transcription Initiation From Type 1 Promoter;RNA Polymerase III Transcription Initiation From Type 2 Promoter;RNA Polymerase III Transcription Initiation From Type 3 Promoter
A6NCV1	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NCW0	Metabolism of proteins;Deubiquitination;Ub-specific processing proteases;Post-translational protein modification
A6NCW7	Metabolism of proteins;Deubiquitination;Ub-specific processing proteases;Post-translational protein modification
A6ND01	Post-translational modification: synthesis of GPI-anchored proteins;Metabolism of proteins;Post-translational protein modification
A6ND48	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NDG6	Metabolism;Glycolysis;Glucose metabolism;Metabolism of carbohydrates
A6NDH6	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NDL8	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NDX5	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A6NET4	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NF89	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NFC9	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NFH5	Metabolism;Triglyceride catabolism;Metabolism of lipids;Triglyceride metabolism
A6NGB9	Signal Transduction;Disease;Innate Immune System;Immune System;Signaling by Rho GTPases;RHO GTPase Effectors;Fcgamma receptor (FCGR) dependent phagocytosis;Regulation of actin dynamics for phagocytic cup formation;Infectious disease;RHO GTPases Activate WASPs and WAVEs;Leishmania infection;Parasite infection;Leishmania phagocytosis;FCGR3A-mediated phagocytosis
A6NGU5	Metabolism;Phase II - Conjugation of compounds;Glutathione conjugation;Glutathione synthesis and recycling;Biological oxidations;Aflatoxin activation and detoxification
A6NGY5	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NH00	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NH21	Metabolism;Metabolism of amino acids and derivatives;Serine biosynthesis
A6NHA9	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NHC0	Degradation of the extracellular matrix;Extracellular matrix organization
A6NHG9	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NHJ4	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A6NHL2	Hemostasis;Neurotransmitter receptors and postsynaptic signal transmission;Transmission across Chemical Synapses;Neuronal System;Developmental Biology;Adaptive Immune System;Translocation of SLC2A4 (GLUT4) to the plasma membrane;Gap junction trafficking and regulation;Signal Transduction;Macroautophagy;Cell Cycle;Disease;Immune System;Organelle biogenesis and maintenance;Gap junction trafficking;Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane;Gap junction assembly;Transport of connexons to the plasma membrane;Signaling by Rho GTPases;RHO GTPase Effectors;ER to Golgi Anterograde Transport;Membrane Trafficking;MHC class II antigen presentation;Cellular responses to stress;Separation of Sister Chromatids;Resolution of Sister Chromatid Cohesion;Mitotic Metaphase and Anaphase;Nuclear Envelope (NE) Reassembly;HSP90 chaperone cycle for steroid hormone receptors (SHR);L1CAM interactions;Recruitment of NuMA to mitotic centrosomes;Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding;Formation of tubulin folding intermediates by CCT/TriC;Post-chaperonin tubulin folding pathway;Chaperonin-mediated protein folding;Protein folding;Metabolism of proteins;Axon guidance;Recycling pathway of L1;Post NMDA receptor activation events;Activation of NMDA receptors and postsynaptic events;Asparagine N-linked glycosylation;Mitotic G2-G2/M phases;Cilium Assembly;RHO GTPases activate IQGAPs;Vesicle-mediated transport;Infectious disease;RHO GTPases Activate Formins;Post-translational protein modification;COPI-mediated anterograde transport;COPI-dependent Golgi-to-ER retrograde traffic;COPI-independent Golgi-to-ER retrograde traffic;Intra-Golgi and retrograde Golgi-to-ER traffic;Mitotic Prometaphase;Mitotic Anaphase;M Phase;G2/M Transition;Cell Cycle, Mitotic;The role of GTSE1 in G2/M progression after G2 checkpoint;Golgi-to-ER retrograde transport;Cellular responses to external stimuli;Carboxyterminal post-translational modifications of tubulin;Transport to the Golgi and subsequent modification;HCMV Infection;HCMV Early Events;Assembly and cell surface presentation of NMDA receptors;Autophagy;Activation of AMPK downstream of NMDARs;Aggrephagy;EML4 and NUDC in mitotic spindle formation;Selective autophagy;Sealing of the nuclear envelope (NE) by ESCRT-III;Nervous system development;Kinesins;Factors involved in megakaryocyte development and platelet production
A6NHX0	Cellular responses to stress;Cellular responses to external stimuli;Amino acids regulate mTORC1
A6NI28	Signal Transduction;Signaling by Rho GTPases;Rho GTPase cycle
A6NI73	Adaptive Immune System;Immune System;Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
A6NIH7	Organelle biogenesis and maintenance;Cilium Assembly;Cargo trafficking to the periciliary membrane;Trafficking of myristoylated proteins to the cilium
A6NIJ9	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NIX2	Cellular response to hypoxia;Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha;Cellular responses to stress;Cellular responses to external stimuli
A6NJZ3	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NK53	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A6NK58	Metabolism;Glyoxylate metabolism and glycine degradation;Metabolism of amino acids and derivatives
A6NK59	Adaptive Immune System;Immune System;Metabolism of proteins;Post-translational protein modification;Neddylation;Antigen processing: Ubiquitination & Proteasome degradation;Class I MHC mediated antigen processing & presentation
A6NKK0	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NL08	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NL26	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NLF2	Formation of RNA Pol II elongation complex ;HIV Life Cycle;Late Phase of HIV Life Cycle;HIV Infection;Disease;Formation of HIV elongation complex in the absence of HIV Tat;HIV Transcription Elongation;Transcription of the HIV genome;Formation of HIV-1 elongation complex containing HIV-1 Tat;Pausing and recovery of Tat-mediated HIV elongation;Tat-mediated HIV elongation arrest and recovery;Tat-mediated elongation of the HIV-1 transcript;HIV elongation arrest and recovery;Pausing and recovery of HIV elongation;Generic Transcription Pathway;Transcriptional Regulation by TP53;Infectious disease;RNA Polymerase II Pre-transcription Events;TP53 Regulates Transcription of DNA Repair Genes;RNA Polymerase II Transcription;Gene expression (Transcription);RNA Polymerase II Transcription Elongation
A6NM03	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NM76	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NMB1	Innate Immune System;Immune System;DAP12 interactions
A6NMS3	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NMU1	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NMZ5	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NMZ7	Developmental Biology;Collagen degradation;Degradation of the extracellular matrix;Extracellular matrix organization;Collagen formation;Signal Transduction;Collagen biosynthesis and modifying enzymes;Signaling by PDGF;Assembly of collagen fibrils and other multimeric structures;Integrin cell surface interactions;ECM proteoglycans;NCAM signaling for neurite out-growth;NCAM1 interactions;Axon guidance;Collagen chain trimerization;Signaling by Receptor Tyrosine Kinases;Nervous system development
A6NN14	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A6NND4	Signal Transduction;Signaling by GPCR;Olfactory Signaling Pathway;GPCR downstream signalling;G alpha (s) signalling events
A6NNF4	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)
A6NNM8	Metabolism of proteins;Post-translational protein modification;Carboxyterminal post-translational modifications of tubulin
